"","COUNTYNAME","英文土系名","中文土系名","母質種類","土壤特性","土壤形態","排水等級","石灰性","坡度","表土酸鹼性","第一層質地","第二層質地","第三層質地","第四層質地","面積","周長"
"16191","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","5","11","11","11",217929.641,4161.448
"16192","屏東縣","Co","濁水系","21","15","1","1","3","1","7","4","3","2","1",191217.831,2331.781
"16193","屏東縣","Fy","芳苑系","14","16","1","1","15","1","6","3","2","2","2",154741.866,2317.542
"16194","屏東縣","Wo","武洛系","21","16","1","1","15","1","5","4","3","3","6",57305.025,1168.463
"16195","屏東縣","Wo","武洛系","21","16","1","1","15","1","5","5","3","3","6",31205.212,918.927
"16196","屏東縣","El","二崙系","21","14","1","1","15","1","4","6","5","5","1",128447.957,1747.083
"16197","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",73455.612,2130.231
"16198","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",308643.514,2765.046
"16199","屏東縣","Es","二水系","21","15","1","2","3","1","8","5","5","5","5",181021.781,2962.559
"16200","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","5","2","1","1",71311.936,1294.691
"16201","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","4","3","3","3",38261.782,986.241
"16202","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",116648.626,2465.136
"16203","屏東縣","Ks","高樹系","21","16","1","1","15","1","4","4","4","4","11",107578.178,1462.571
"16204","屏東縣","Ca","加興村系","21","14","1","1","15","1","6","8","8","8","8",668522.795,4691.179
"16205","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",304425.626,3772.186
"16206","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",304879.554,2660.491
"16207","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",483033.94,3976.259
"16208","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","4","5","5","5",108985.426,2267.506
"16209","屏東縣","Ti","德協系","21","14","1","1","15","1","4","5","5","11","11",80255.536,1751.198
"16210","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","4","11","11","11",88679.274,1765.28
"16211","屏東縣","Ks","高樹系","21","16","1","1","15","1","4","4","4","4","11",35867.796,960.436
"16212","屏東縣","Tp","大排沙系","21","15","1","1","3","1","8","5","2","2","2",697804.563,3648.593
"16213","屏東縣","Kl","歸來系","21","16","1","1","15","1","6","4","4","4","4",113383.245,1860.292
"16214","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","5","2","1","1",5455.459,399.876
"16215","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",138377.56,3283.01
"16216","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",15302.206,569.996
"16217","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",531760.591,4192.806
"16218","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",83798.886,1146.792
"16219","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",50793.816,884.939
"16220","屏東縣","Ti","德協系","21","14","1","1","15","1","4","5","5","11","11",167594.316,1948.21
"16221","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","4","11","11","11",105259.707,1504.467
"16222","屏東縣","Ci","舊冬腳系","21","14","1","2","15","1","4","5","8","8","8",215523.274,2208.376
"16223","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",26303.344,840.04
"16224","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","2","11","11","11",941292.225,6458.608
"16225","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",7566.01,424.127
"16226","屏東縣","La","濫頭系","21","14","1","2","15","1","7","5","5","1","11",196197.347,2134.44
"16227","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","6","5","5","3",117058.483,1686.019
"16228","屏東縣","Wo","武洛系","21","16","1","1","15","1","5","3","3","3","6",98972.688,1927.33
"16229","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",5940.198,328.21
"16230","屏東縣","Ca","加興村系","21","14","1","1","15","1","6","8","8","8","8",137264.439,2308.824
"16231","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",985702.375,8988.361
"16232","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","3","2","1","1",138603.065,2150.078
"16233","屏東縣","Lt","六塊厝系","21","15","1","1","3","1","8","4","5","1","1",140417.056,1798.694
"16234","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","2","11","11","11",328944.028,2888.627
"16235","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",7300.596,437.702
"16236","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",391918.149,4211.324
"16237","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",2946646.48,11724.922
"16238","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","5","2","1","1",69110.478,1075.609
"16239","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","1","11","11","11",91361.712,1788.856
"16240","屏東縣","Ct","周厝崙系","21","15","1","2","3","1","7","2","3","2","2",27877.029,827.083
"16241","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",134570.477,2504.34
"16242","屏東縣","Ci","舊冬腳系","21","14","1","2","15","1","4","8","8","8","8",255505.438,2874.925
"16243","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",550355.019,5116.359
"16244","屏東縣","Fy","芳苑系","14","16","1","1","15","1","6","3","2","2","2",44016.03,935.671
"16245","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",55105.658,1067.837
"16246","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",89809.791,1586.114
"16247","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",271326.211,3285.165
"16248","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",74912.43,1199.233
"16249","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","3","5","5","5",93570.174,1294.128
"16250","屏東縣","Ti","德協系","21","14","1","1","15","1","4","3","5","11","11",99801.386,1806.297
"16251","屏東縣","Ti","德協系","21","14","1","1","15","1","4","6","5","11","11",412574.577,4779.76
"16252","屏東縣","Fy","芳苑系","14","16","1","1","15","1","6","3","2","2","2",18351.014,617.66
"16253","屏東縣","Co","濁水系","21","15","1","1","3","1","7","4","3","2","1",7650.438,451.789
"16254","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","5","5","5","5",26990.35,994.719
"16255","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","3","5","5","3",187615.821,2947.541
"16256","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","3","5","5","5",14449.822,526.683
"16257","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","4","5","5","3",29750.49,661.676
"16258","屏東縣","Tw","大武丁系","21","14","1","2","15","1","6","5","3","8","8",173074.105,1886.697
"16259","屏東縣","Sc","石光見系","21","14","1","2","15","1","5","5","5","5","11",294469.464,2502.635
"16260","屏東縣","Fy","芳苑系","14","16","1","1","15","1","6","2","2","2","2",70583.92,1145.501
"16261","屏東縣","Lt","六塊厝系","21","15","1","1","3","1","8","4","5","1","1",42229.543,1122.393
"16262","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","3","2","1","1",402918.514,4054.369
"16263","屏東縣","Ci","舊冬腳系","21","14","1","2","15","1","4","5","8","8","8",47316.966,999.004
"16264","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",16059.033,713.053
"16265","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",160587.705,2453.916
"16266","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",180582.888,2437.352
"16267","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",126592.439,2438.55
"16268","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","2","11","11","11",77327.599,1425.013
"16269","屏東縣","Ca","加興村系","21","14","1","1","15","1","6","5","8","8","8",154557.137,2211.086
"16270","屏東縣","Tp","大排沙系","21","15","1","1","3","1","8","2","2","2","2",299829.368,3197.302
"16271","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",132436.1,1936.728
"16272","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",108751.917,2687.689
"16273","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",70848.417,1407.838
"16274","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","5","3","3","3",18401.898,650.175
"16275","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",7110.873,394.268
"16276","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","6","11","11","11",22184.297,670.747
"16277","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",65954.101,1035.516
"16278","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",51604.513,1199.914
"16279","屏東縣","Ci","舊冬腳系","21","14","1","2","15","1","4","8","8","8","8",1833134.574,6949.196
"16280","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",5795.857,339.069
"16281","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",18203.251,877.254
"16282","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",6100.086,410.392
"16283","屏東縣","Cs","長興系","21","14","1","2","3","1","7","5","5","8","8",129110.76,1760.255
"16284","屏東縣","Ca","加興村系","21","14","1","1","15","1","6","5","8","8","8",1416075.702,7524.049
"16285","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",137883.869,1947.594
"16286","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",21451.654,685.874
"16287","屏東縣","La","濫頭系","21","14","1","2","15","1","7","5","5","1","11",10852.829,476.413
"16288","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","5","3","3","3",28902.52,804.131
"16289","屏東縣","Tw","大武丁系","21","14","1","2","15","1","6","5","3","8","8",213310.299,1906.145
"16290","屏東縣","Ca","加興村系","21","14","1","1","15","1","6","8","8","8","8",4600.137,320.918
"16291","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","6","11","11","11",34406.041,845.021
"16292","屏東縣","Ti","德協系","21","14","1","1","15","1","4","3","5","11","11",110474.647,1748.518
"16293","屏東縣","Es","二水系","21","15","1","2","3","1","8","5","5","5","5",4749.937,288.5
"16294","屏東縣","Kk","公館系","21","16","1","1","15","1","6","4","3","3","3",46851.626,980.455
"16295","屏東縣","Kk","公館系","21","16","1","1","15","1","6","5","3","3","3",33801.861,896.806
"16296","屏東縣","Wo","武洛系","21","16","1","1","15","1","5","2","3","3","6",74450.807,1104.905
"16297","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",9202.32,440.596
"16298","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",80847.767,1344.835
"16299","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",115912.307,1550.5
"16300","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",13242.646,691.242
"16301","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",2600.431,216.636
"16302","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",63665.629,1066.21
"16303","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",95472.609,1431.892
"16304","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",16002.197,751.487
"16305","屏東縣","Kk","公館系","21","16","1","1","15","1","6","3","3","3","3",31950.267,808.949
"16306","屏東縣","Ks","高樹系","21","16","1","1","15","1","4","3","4","4","11",38366.385,838.266
"16307","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","3","2","1","1",20352.511,678.462
"16308","屏東縣","Tw","大武丁系","21","14","1","2","15","1","6","5","3","8","8",93056.981,1230.271
